,Unnamed: 0,Unnamed: 1,Unnamed: 2
1970-01,2802,一銀,金融保險
1970-01,2848,華南保,金融保險
1970-01,5801,第一金投,金融保險
1970-01,2808,北商銀,金融保險
1970-01,2825,美亞產險,金融保險
1970-01,2807,渣打銀行,金融保險
1970-01,2811,東企,金融保險
1970-01,2827,中聯,金融保險
1970-01,5810,寶華,金融保險
1970-01,5818,僑銀,金融保險
1970-01,6004,元京證,金融保險
1970-01,2854,寶來證券,金融保險
1970-01,5854,合庫,金融保險
1970-01,6012,金鼎證,金融保險
1970-01,6008,凱基證券,金融保險
1970-01,2837,萬泰銀行,金融保險
1970-01,2833,台灣人壽,金融保險
1970-01,2847,大眾銀行,金融保險
1970-01,6022,大眾證券,金融保險
1970-01,2856,元富證券,金融保險
1970-01,2823,中壽,金融保險
1970-01,5820,日盛金,金融保險
1970-01,2802,一銀,金融保險
1970-01,2848,華南保,金融保險
1970-01,5801,第一金投,金融保險
1970-01,2808,北商銀,金融保險
1970-01,2825,美亞產險,金融保險
1970-01,2807,渣打銀行,金融保險
1970-01,2811,東企,金融保險
1970-01,2827,中聯,金融保險
1970-01,5810,寶華,金融保險
1970-01,5818,僑銀,金融保險
1970-01,6004,元京證,金融保險
1970-01,2854,寶來證券,金融保險
1970-01,5854,合庫,金融保險
1970-01,6012,金鼎證,金融保險
1970-01,6008,凱基證券,金融保險
1970-01,2837,萬泰銀行,金融保險
1970-01,2833,台灣人壽,金融保險
1970-01,2847,大眾銀行,金融保險
1970-01,6022,大眾證券,金融保險
1970-01,2856,元富證券,金融保險
1970-01,2823,中壽,金融保險
1970-01,5820,日盛金,金融保險
